S/N,LGA,TOWN/WARDS,FOOD,CLOTHING,DANCE,RELIGION,FESTIVALS,MUSIC/INSTRUMENTS,LANGUAGE,DIALECT,GIS LOCATION,LEADERSHIP
85,Odogbolu,Imaka,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°51′36″ N 3°43′48″ N,"Oba, Alaye"
86,Odogbolu,Adofe,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′48″ N 3°43′12″ N,"Oba, Alaye"
87,Odogbolu,Aiyepe,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′12″ N 3°42′36″ N,Obas
88,Odogbolu,Araromi,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′48″ N 3°41′24″ N,Oba
89,Odogbolu,Eyinwa,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°53′24″ N 3°40′48″ N,Oba
90,Odogbolu,Ijesa Ijebu,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°51′36″ N 3°42′0″ N,Oba
91,Odogbolu,Isaye,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′12″ N 3°41′24″ N,"Oba, Alaye"
92,Odogbolu,Itamerin,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′48″ N 3°40′48″ N,Oba
93,Odogbolu,Moloko,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°53′24″ N 3°42′36″ N,Oba
94,Odogbolu,Ogoji,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′48″ N 3°41′42″ N,Oba
95,Odogbolu,Ogudu,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°53′6″ N 3°42′18″ N,Oba
96,Odogbolu,Okunowa,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′12″ N 3°41′6″ N,Baale
97,Odogbolu,Omju Warun,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°51′36″ N 3°41′42″ N,Oba
98,Odogbolu,Owoyade,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°52′30″ N 3°42′36″ N,Oba
99,Ipokia,Ipokia I,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
100,Ipokia,Ipokia II,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
101,Ipokia,Agosasa,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
102,Ipokia,Ijofin/Idosa,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
103,Ipokia,Tube,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
104,Ipokia,Agada,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
105,Ipokia,Mauni I,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
106,Ipokia,Mauni II,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
107,Ipokia,Ajegunle,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
108,Ipokia,Ifonyintedo,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
109,Ipokia,Idiroko,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
110,Ipokia,Ihunbo/Ilase,"Local Yoruba/Yewa dishes (e.g., Gbangba, Imoyo, Adalu, Tuwo, Eko).","Traditional Yoruba attire (iro and buba, agbada, aso-oke for ceremonies).",Local Yoruba dances and masquerade performances (shared Yoruba forms).,"Mixture of Christianity, Islam and traditional beliefs (Ifa, ancestor veneration).","Local town festivals, traditional and masquerade festivals; seasonal/community festivals.","Yoruba musical traditions (drumming, talking drums, praise-singing).","Yoruba
","Anago(main), Egun, Eyo(Awori)","6.5250° N, 2.8425° E","Oba, Onipokia"
111,Ado-Odo/Ota,Ota I,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E","Oba, Olota"
112,Ado-Odo/Ota,Ota II,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E","Oba, Olota"
113,Ado-Odo/Ota,Ota III,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E","Oba, Olota"
114,Ado-Odo/Ota,Sango,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E","Oba, Onisango"
115,Ado-Odo/Ota,Ijoko,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E","Oba, Onijoko"
116,Ado-Odo/Ota,Atan,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E","Oba, Olu"
117,Ado-Odo/Ota,Iju,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Oniju
118,Ado-Odo/Ota,Ilogbo,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Onilogbo
119,Ado-Odo/Ota,Ado Odo I,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Olofin Adimula Oodua
120,Ado-Odo/Ota,Ado Odo II,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Olofin Adimula Oodua
121,Ado-Odo/Ota,Ere,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Olofin Adimula Oodua
122,Ado-Odo/Ota,Alapoti,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba
123,Ado-Odo/Ota,Ketu-Adie-Owe,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Olofin Adimula Oodua
124,Ado-Odo/Ota,Igbesa,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Oloja Ekun
125,Ado-Odo/Ota,Agbara I,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Alagbara
126,Ado-Odo/Ota,Agbara/Ejila Awori,"Awori/Yoruba cuisine: similar Yoruba staples (pounded yam, soups, corn-based snacks), local specialties.","Traditional Yoruba/Awori attire (iro and buba, agbada, aso-oke).","Egungun masquerades, Gelede and other Awori dances; community performance traditions.","Predominantly Christianity and Islam, with enduring traditional practices (masquerades/shrine worship).","Egungun festival (notably in Ota), Gelede, Iganmode/other Awori festivals, Zangbeto among Egun communities.","Yoruba drumming ensembles, bata and gudugudu rhythms, praise-singing and choral Christian music.","Yoruba
",Awori,"6.6237° N, 3.0863° E",Oba Alagbara
127,South Abeokuta,Abeokuta South (Central),"Amala, Ewedu, Gbegiri","Agbada, Aso-oke","Bata, Ijo-Egungun","Yoruba, Christianity, Islam",Olumo Festival,"Fuji, Bàtá, Apala","Yoruba
",Egba,"7.1608° N, 3.3483° E",Oba Alake
128,South Abeokuta,Ake,"Amala, Ewedu","Aso-oke, royal robes",Egungun & palace dance,Yoruba Religion,Oke-Itoku Festival,"Bàtá, Dundun","Yoruba
",Egba,"7.1550° N, 3.3450° E",Oba Alake
129,South Abeokuta,Itoko,"Pounded yam, egusi","Danshiki, Aso-oke",Egungun masquerade dance,Yoruba Religion,Egungun Festival,"Apala, Fuji","Yoruba
",Egba,"7.1553° N, 3.3530° E","Chiefs, Oshile"
130,South Abeokuta,Ijemo,"Eba, okra soup","Ankara, lace",Drumming & storytelling,"Christianity, Traditional",Odun Omo Egba,"Highlife, Juju","Yoruba
",Egba,"7.1531° N, 3.3492° E",Oba Alake
131,South Abeokuta,Lantoro,Yam porridge,Yoruba-Western mix,Choir & bata fusion,Christianity,Harvest Festival,Gospel (Yoruba style),"Yoruba
",Egba,"7.1620° N, 3.3522° E",Oba Alake
132,South Abeokuta,Adatan,Ofada rice,Wrapper & head-tie,Alárìnjó,Yoruba & Islam,Adatan Market Day,"Fuji, Sakara","Yoruba
",Egba,"7.1617° N, 3.3660° E",Oba Alake
133,South Abeokuta,Emere,"Amala, efo",Iro & buba,Oro & Egungun,Yoruba Religion,Oro Festival,"Traditional Percussion (Bàtá, Sekere)","Yoruba
",Egba,"7.1575° N, 3.3410° E","Oba Alake, Baale"
134,South Abeokuta,Ijaiye / Idi-Aba,"Akara, pap",Yoruba attire,Youth dance,"Islam, Christianity",Odun Egba,"Fuji, Juju","Yoruba
",Egba,"7.1537° N, 3.3632° E",Oba
135,South Abeokuta,Erunibe / Ijoko / Ilogbo / Oke-Ejigbo,"Yam, ogi","Ankara, beads",Circle dance,Yoruba Religion,Oje Festival,Traditional Folk Drumming,"Yoruba
",Egba,"7.1580° N, 3.3705° E",Oba
136,South Abeokuta,Oke Ijeun,"Ewedu, amala",Yoruba dress,Alárìnjó,Yoruba Religion,Oro Oje,"Bàtá, Sekere","Yoruba
",Egba,"7.1555° N, 3.3571° E",Oba
137,South Abeokuta,Ago Ijesha / Ijeun Titun / Ago-Egun,Fish pepper soup,Yoruba–Egun style,Egun dance,"Yoruba, Egun religions",Egun Festival,"Egun Folk, Drumming","Yoruba
",Egba,"7.1535° N, 3.3644° E",Baale
138,South Abeokuta,Sodeke / Isale Ijeun I,"Yam, egusi",Aso-oke,Chieftaincy dance,Yoruba Religion,Sodeke Festival,"Highlife, Juju","Yoruba
",Egba,"7.1558° N, 3.3505° E",Chief
139,South Abeokuta,Oke-Yeye / Imo / Isabo,"Lafun, efo","Lace, beads",Women’s dance,"Islam, Yoruba Religion",Imo Festival,"Sekere, Traditional Song","Yoruba
",Egba,"7.1579° N, 3.3552° E",Oba
140,South Abeokuta,Igbore / Itori / Ago-Oba,"Ofada, gbegiri",Yoruba attire,Egungun dance,Yoruba Religion,Oro Festival,"Bàtá, Dundun","Yoruba
",Egba,"7.1631° N, 3.3618° E",Oba
141,South Abeokuta,Ibara,"Yam, rice",Yoruba-Western fusion,"Highlife, Bata","Christianity, Islam",Odun Omo Egba,"Juju, Gospel, Fuji","Yoruba
",Egba,"7.1592° N, 3.3447° E",Oba Olubara
142,North abeokuta,Ago-Odo/Ikereku/Ilawo,"Ofada rice, egusi soup","Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Egungun Festival,"Apala, Fuji, Sekere","Yoruba
",Egba,"7.1830Â° N, 3.3260Â° E","Oba, Olu, Onikereku, Alago-odo"
143,North abeokuta,Ikija,Amala with ewedu,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Oro Festival,Bata drumming,"Yoruba
",Egba,"7.1780Â° N, 3.3450Â° E",Oba Onikija
144,North abeokuta,Ago Oko,Lafu and gbegiri,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Lisabi Festival,Traditional Yoruba percussion,"Yoruba
",Egba,"7.1900Â° N, 3.3310Â° E",Oba
145,North abeokuta,Elega Housing/Imala,Efo riro with yam,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Odun Omo Olofin,Egba folk music,"Yoruba
",Egba,"7.2010Â° N, 3.3210Â° E",Oba Olu
146,North abeokuta,Iberekodo/Ilugun,Ogbono soup,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Egba Day,"Fuji, Juju","Yoruba
",Egba,"7.2110Â° N, 3.3540Â° E",Oba Oluaso
147,North abeokuta,Ita Ota/Gbagura,Ofada stew,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Ogun Festival,Bata and Sekere,"Yoruba
",Egba,"7.1700Â° N, 3.3400Â° E","Oba Gbagura, Baale"
148,North abeokuta,Ago Ika/Ijaiye Kukudi,Yam porridge,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",New Yam Festival,Apala,"Yoruba
",Egba,"7.1750Â° N, 3.3320Â° E",Baales
149,North abeokuta,Lafenwa/Afonta,Ewedu soup,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Egungun Festival,"Fuji, Juju","Yoruba
",Egba,"7.1650Â° N, 3.3600Â° E",Baale
150,North abeokuta,Sabo/Ayetoro Garage,Eba and okra,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Oro and Omo Olofin,Yoruba folk music,"Yoruba
",Egba,"7.1690Â° N, 3.3550Â° E",Oba
151,North abeokuta,Oke Ago/Owu,Pounded yam,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Owu Day Festival,Bata and Egba chants,"Yoruba
",Egba,"7.1600Â° N, 3.3420Â° E",Oba Olowu
152,North abeokuta,Totoro/Oke Sokori,Rice and beans,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Egba Heritage Day,"Apala, Fuji","Yoruba
",Egba,"7.1580Â° N, 3.3500Â° E",Baale
153,North abeokuta,Ita Oshin/Olomore,Fufu and vegetable soup,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Lisabi Festival,Sekere music,"Yoruba
",Egba,"7.1655Â° N, 3.3480Â° E",Chiefs
154,North abeokuta,Olorunda/Ijale,Ogi (pap),"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Oro Festival,Drumming ensemble,"Yoruba
",Egba,"7.1800Â° N, 3.3700Â° E",Oba
155,North abeokuta,Imala Orile/Idi-Emi,Plantain dishes,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Harvest Festival,Traditional chants,"Yoruba
",Egba,"7.2050Â° N, 3.3100Â° E","Oba, Baale"
156,North abeokuta,Ibara Orile,Stewed beans,"Adire, Aso-Oke, Ankara","Bata, Gese, Koroso","Traditional Yoruba, Christianity, Islam",Egba Day,Egba highlife,"Yoruba
",Egba,"7.2000Â° N, 3.3000Â° E",Oba Olubara
